Service,Port,Protocol,Description
,0,tcp,Reserved
tcpmux,1,tcp,TCP Port Service Multiplexer
compressnet,2,tcp,Management Utility
compressnet,3,tcp,Compression Process
,4,tcp,Unassigned
rje,5,tcp,Remote Job Entry
,6,tcp,Unassigned
echo,7,tcp,Echo
,8,tcp,Unassigned
discard,9,tcp,Discard
,10,tcp,Unassigned
systat,11,tcp,Active Users
,12,tcp,Unassigned
daytime,13,tcp,Daytime
,14,tcp,Unassigned
,15,tcp,Unassigned [was netstat]
,16,tcp,Unassigned
qotd,17,tcp,Quote of the Day
msp,18,tcp,Message Send Protocol (historic)
chargen,19,tcp,Character Generator
ftp-data,20,tcp,File Transfer [Default Data]
ftp,21,tcp,File Transfer Protocol [Control]
ssh,22,tcp,The Secure Shell (SSH) Protocol
telnet,23,tcp,Telnet
,24,tcp,any private mail system
smtp,25,tcp,Simple Mail Transfer
,26,tcp,Unassigned
nsw-fe,27,tcp,NSW User System FE
,28,tcp,Unassigned
msg-icp,29,tcp,MSG ICP
,30,tcp,Unassigned
msg-auth,31,tcp,MSG Authentication
,32,tcp,Unassigned
dsp,33,tcp,Display Support Protocol
,34,tcp,Unassigned
,35,tcp,any private printer server
,36,tcp,Unassigned
time,37,tcp,Time
rap,38,tcp,Route Access Protocol
rlp,39,tcp,Resource Location Protocol
,40,tcp,Unassigned
graphics,41,tcp,Graphics
name,42,tcp,Host Name Server
nameserver,42,tcp,Host Name Server
nicname,43,tcp,Who Is
mpm-flags,44,tcp,MPM FLAGS Protocol
mpm,45,tcp,Message Processing Module [recv]
mpm-snd,46,tcp,MPM [default send]
,47,tcp,Reserved
auditd,48,tcp,Digital Audit Daemon
tacacs,49,tcp,Login Host Protocol (TACACS)
re-mail-ck,50,tcp,Remote Mail Checking Protocol
xns-time,52,tcp,XNS Time Protocol
domain,53,tcp,Domain Name Server
xns-ch,54,tcp,XNS Clearinghouse
isi-gl,55,tcp,ISI Graphics Language
xns-auth,56,tcp,XNS Authentication
,57,tcp,any private terminal access
xns-mail,58,tcp,XNS Mail
,59,tcp,any private file service
,60,tcp,Unassigned
,61,tcp,Reserved
acas,62,tcp,ACA Services
whoispp,63,tcp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
whois++,63,tcp,whois++
covia,64,tcp,Communications Integrator (CI)
tacacs-ds,65,tcp,TACACS-Database Service
sql-net,66,tcp,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net""."
sql*net,66,tcp,Oracle SQL*NET
bootps,67,tcp,Bootstrap Protocol Server
bootpc,68,tcp,Bootstrap Protocol Client
tftp,69,tcp,Trivial File Transfer
gopher,70,tcp,Gopher
netrjs-1,71,tcp,Remote Job Service
netrjs-2,72,tcp,Remote Job Service
netrjs-3,73,tcp,Remote Job Service
netrjs-4,74,tcp,Remote Job Service
,75,tcp,any private dial out service
deos,76,tcp,Distributed External Object Store
,77,tcp,any private RJE service
vettcp,78,tcp,vettcp
finger,79,tcp,Finger
http,80,tcp,World Wide Web HTTP
www,80,tcp,World Wide Web HTTP
www-http,80,tcp,World Wide Web HTTP
xfer,82,tcp,XFER Utility
mit-ml-dev,83,tcp,MIT ML Device
ctf,84,tcp,Common Trace Facility
mit-ml-dev,85,tcp,MIT ML Device
mfcobol,86,tcp,Micro Focus Cobol
,87,tcp,any private terminal link
kerberos,88,tcp,Kerberos
su-mit-tg,89,tcp,SU/MIT Telnet Gateway
dnsix,90,tcp,DNSIX Securit Attribute Token Map
mit-dov,91,tcp,MIT Dover Spooler
