Service,Port,Protocol,Description
,0,udp,Reserved
tcpmux,1,udp,TCP Port Service Multiplexer
compressnet,2,udp,Management Utility
compressnet,3,udp,Compression Process
,4,udp,Unassigned
rje,5,udp,Remote Job Entry
,6,udp,Unassigned
echo,7,udp,Echo
,8,udp,Unassigned
discard,9,udp,Discard
,10,udp,Unassigned
systat,11,udp,Active Users
,12,udp,Unassigned
daytime,13,udp,Daytime
,14,udp,Unassigned
,15,udp,Unassigned
,16,udp,Unassigned
qotd,17,udp,Quote of the Day
msp,18,udp,Message Send Protocol (historic)
chargen,19,udp,Character Generator
ftp-data,20,udp,File Transfer [Default Data]
ftp,21,udp,File Transfer Protocol [Control]
ssh,22,udp,The Secure Shell (SSH) Protocol
telnet,23,udp,Telnet
,24,udp,any private mail system
smtp,25,udp,Simple Mail Transfer
,26,udp,Unassigned
nsw-fe,27,udp,NSW User System FE
,28,udp,Unassigned
msg-icp,29,udp,MSG ICP
,30,udp,Unassigned
msg-auth,31,udp,MSG Authentication
,32,udp,Unassigned
dsp,33,udp,Display Support Protocol
,34,udp,Unassigned
,35,udp,any private printer server
,36,udp,Unassigned
time,37,udp,Time
rap,38,udp,Route Access Protocol
rlp,39,udp,Resource Location Protocol
,40,udp,Unassigned
graphics,41,udp,Graphics
name,42,udp,Host Name Server
nameserver,42,udp,Host Name Server
nicname,43,udp,Who Is
mpm-flags,44,udp,MPM FLAGS Protocol
mpm,45,udp,Message Processing Module [recv]
mpm-snd,46,udp,MPM [default send]
,47,udp,Reserved
auditd,48,udp,Digital Audit Daemon
tacacs,49,udp,Login Host Protocol (TACACS)
re-mail-ck,50,udp,Remote Mail Checking Protocol
xns-time,52,udp,XNS Time Protocol
domain,53,udp,Domain Name Server
xns-ch,54,udp,XNS Clearinghouse
isi-gl,55,udp,ISI Graphics Language
xns-auth,56,udp,XNS Authentication
,57,udp,any private terminal access
xns-mail,58,udp,XNS Mail
,59,udp,any private file service
,60,udp,Unassigned
,61,udp,Reserved
acas,62,udp,ACA Services
whoispp,63,udp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
whois++,63,udp,whois++
covia,64,udp,Communications Integrator (CI)
tacacs-ds,65,udp,TACACS-Database Service
sql-net,66,udp,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net""."
sql*net,66,udp,Oracle SQL*NET
bootps,67,udp,Bootstrap Protocol Server
bootpc,68,udp,Bootstrap Protocol Client
tftp,69,udp,Trivial File Transfer
gopher,70,udp,Gopher
netrjs-1,71,udp,Remote Job Service
netrjs-2,72,udp,Remote Job Service
netrjs-3,73,udp,Remote Job Service
netrjs-4,74,udp,Remote Job Service
,75,udp,any private dial out service
deos,76,udp,Distributed External Object Store
,77,udp,any private RJE service
vettcp,78,udp,vettcp
finger,79,udp,Finger
http,80,udp,World Wide Web HTTP
www,80,udp,World Wide Web HTTP
www-http,80,udp,World Wide Web HTTP
xfer,82,udp,XFER Utility
mit-ml-dev,83,udp,MIT ML Device
ctf,84,udp,Common Trace Facility
mit-ml-dev,85,udp,MIT ML Device
mfcobol,86,udp,Micro Focus Cobol
,87,udp,any private terminal link
kerberos,88,udp,Kerberos
su-mit-tg,89,udp,SU/MIT Telnet Gateway
dnsix,90,udp,DNSIX Securit Attribute Token Map
mit-dov,91,udp,MIT Dover Spooler
npp,92,udp,Network Printing Protocol
dcp,93,udp,Device Control Protocol
objcall,94,udp,Tivoli Object Dispatcher
supdup,95,udp,SUPDUP
dixie,96,udp,DIXIE Protocol Specification
swift-rvf,97,udp,Swift Remote Virtural File Protocol
tacnews,98,udp,TAC News
metagram,99,udp,Metagram Relay
hostname,101,udp,NIC Host Name Server
iso-tsap,102,udp,ISO-TSAP Class 0
gppitnp,103,udp,Genesis Point-to-Point Trans Net
acr-nema,104,udp,ACR-NEMA Digital Imag. & Comm. 300
cso,105,udp,CCSO name server protocol
csnet-ns,105,udp,Mailbox Name Nameserver
3com-tsmux,106,udp,3COM-TSMUX
rtelnet,107,udp,Remote Telnet Service
snagas,108,udp,SNA Gateway Access Server
pop2,109,udp,Post Office Protocol - Version 2
pop3,110,udp,Post Office Protocol - Version 3
sunrpc,111,udp,SUN Remote Procedure Call
mcidas,112,udp,McIDAS Data Transmission Protocol
auth,113,udp,Authentication Service
sftp,115,udp,Simple File Transfer Protocol
ansanotify,116,udp,ANSA REX Notify
uucp-path,117,udp,UUCP Path Service
sqlserv,118,udp,SQL Services
nntp,119,udp,Network News Transfer Protocol
cfdptkt,120,udp,CFDPTKT
erpc,121,udp,Encore Expedited Remote Pro.Call
smakynet,122,udp,SMAKYNET
ntp,123,udp,Network Time Protocol
ansatrader,124,udp,ANSA REX Trader
locus-map,125,udp,Locus PC-Interface Net Map Ser
nxedit,126,udp,NXEdit
locus-con,127,udp,Locus PC-Interface Conn Server
gss-xlicen,128,udp,GSS X License Verification
pwdgen,129,udp,Password Generator Protocol
cisco-fna,130,udp,cisco FNATIVE
cisco-tna,131,udp,cisco TNATIVE
cisco-sys,132,udp,cisco SYSMAINT
statsrv,133,udp,Statistics Service
ingres-net,134,udp,INGRES-NET Service
epmap,135,udp,DCE endpoint resolution
profile,136,udp,PROFILE Naming System
netbios-ns,137,udp,NETBIOS Name Service
netbios-dgm,138,udp,NETBIOS Datagram Service
netbios-ssn,139,udp,NETBIOS Session Service
emfis-data,140,udp,EMFIS Data Service
emfis-cntl,141,udp,EMFIS Control Service
bl-idm,142,udp,Britton-Lee IDM
,143,udp,Reserved
uma,144,udp,Universal Management Architecture
uaac,145,udp,UAAC Protocol
iso-tp0,146,udp,ISO-IP0
iso-ip,147,udp,ISO-IP
jargon,148,udp,Jargon
aed-512,149,udp,AED 512 Emulation Service
sql-net,150,udp,SQL-NET
hems,151,udp,HEMS
bftp,152,udp,Background File Transfer Program
sgmp,153,udp,SGMP
netsc-prod,154,udp,NETSC
netsc-dev,155,udp,NETSC
sqlsrv,156,udp,SQL Service
knet-cmp,157,udp,KNET/VM Command/Message Protocol
pcmail-srv,158,udp,PCMail Server
nss-routing,159,udp,NSS-Routing
sgmp-traps,160,udp,SGMP-TRAPS
snmp,161,udp,SNMP
snmptrap,162,udp,SNMPTRAP
cmip-man,163,udp,CMIP/TCP Manager
cmip-agent,164,udp,CMIP/TCP Agent
xns-courier,165,udp,Xerox
s-net,166,udp,Sirius Systems
namp,167,udp,NAMP
rsvd,168,udp,RSVD
send,169,udp,SEND
print-srv,170,udp,Network PostScript
multiplex,171,udp,Network Innovations Multiplex
cl-1,172,udp,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1""."
cl/1,172,udp,Network Innovations CL/1
xyplex-mux,173,udp,Xyplex
mailq,174,udp,MAILQ
vmnet,175,udp,VMNET
genrad-mux,176,udp,GENRAD-MUX
xdmcp,177,udp,X Display Manager Control Protocol
nextstep,178,udp,NextStep Window Server
bgp,179,udp,Border Gateway Protocol
ris,180,udp,Intergraph
unify,181,udp,Unify
audit,182,udp,Unisys Audit SITP
ocbinder,183,udp,OCBinder
ocserver,184,udp,OCServer
remote-kis,185,udp,Remote-KIS
kis,186,udp,KIS Protocol
aci,187,udp,Application Communication Interface
mumps,188,udp,Plus Five's MUMPS
qft,189,udp,Queued File Transport
gacp,190,udp,Gateway Access Control Protocol
prospero,191,udp,Prospero Directory Service
